predicate;question
http://dbpedia.org/ontology/deathCause;what was the cause of death of barbara la marr?
http://dbpedia.org/ontology/literaryGenre;What kind of book is mystery of the whale tattoo
http://dbpedia.org/ontology/creator;who is the program creator of the show the prisoner?
http://purl.org/linguistics/gold/hypernym;Name a businessman
http://dbpedia.org/ontology/literaryGenre;What kind of book is when harlie was one?
http://dbpedia.org/ontology/country;which province contains ischia, campania?
http://dbpedia.org/ontology/recordLabel;Which record label were The Archies under?
http://xmlns.com/foaf/0.1/gender;what is yahiro kazama's gender
http://dbpedia.org/ontology/isPartOf;What is a village with in the united states, located in Ralls County?
http://purl.org/linguistics/gold/hypernym;what type of format is iges
http://dbpedia.org/ontology/musicComposer;which music was played in final fantasy vii advent children
http://dbpedia.org/ontology/producer;which film did shintaro katsu produce
http://dbpedia.org/ontology/literaryGenre;What kind of book is the spare room
http://dbpedia.org/ontology/genre;what kind of show is my life as liz?
http://dbpedia.org/ontology/battle;which military person was involved in world war i?
http://dbpedia.org/ontology/hometown;What city is sbtrkt from?
http://purl.org/linguistics/gold/hypernym;what was  juan jose torres
http://dbpedia.org/ontology/movement;what period is edwin scheier associated with
http://dbpedia.org/property/studio;What company produced the film the fall of the roman empire?
http://xmlns.com/foaf/0.1/gender;what gender is john martin robinson
http://dbpedia.org/ontology/producer;Who was the executive producer of the film wendy and lucy
http://dbpedia.org/ontology/isPartOf;what state is  weston in
http://dbpedia.org/ontology/country;where is fraser island located
http://dbpedia.org/ontology/genre;what genre is itunes live: sxsw (live in austin, tx/2011)?
http://dbpedia.org/ontology/isPartOf;where is ponderay
http://dbpedia.org/ontology/genre;what album plays gothic metal music?
http://dbpedia.org/ontology/country;where would you find wakefield college
http://dbpedia.org/ontology/genre;what is the name of a adult contemporary music musician
http://dbpedia.org/ontology/genre;What is the genre of let the music play: supreme rarities?
http://dbpedia.org/ontology/deathPlace;what city and country did  shinji nakae die  in
http://xmlns.com/foaf/0.1/gender;What gender is mikako takahashi?
http://xmlns.com/foaf/0.1/gender;What's paul-eerik rummo gender?
http://dbpedia.org/ontology/birthPlace;where was sa'adu abubakar born
http://dbpedia.org/ontology/birthPlace;Who was born in southfield?
http://dbpedia.org/ontology/country;what country is  colvin taluqdars college in
http://dbpedia.org/ontology/genre;What kind of music does latif sing
http://dbpedia.org/ontology/class;what is the automotive class of lamborghini murcielago?
http://dbpedia.org/ontology/position;what position does dave lutz play?
http://dbpedia.org/ontology/writer;who wrote lyrics for mona lisa
http://dbpedia.org/ontology/genre;What genre of music is them or us
http://dbpedia.org/ontology/isPartOf;Where is the bluff view located?
http://dbpedia.org/ontology/recordLabel;what label is sohne mannheims with
http://dbpedia.org/ontology/birthPlace;Name a cricketer born in bermuda
http://dbpedia.org/ontology/ideology;What is a political party of marxism-leninism?
http://dbpedia.org/ontology/language;What was the original language of the book  last contact
http://dbpedia.org/ontology/timeZone;What is the time zone for the city of scandia?
http://dbpedia.org/ontology/director;which film was directed by doug liman
http://dbpedia.org/ontology/deathPlace;where did walter schoeller pass away
http://dbpedia.org/ontology/birthPlace;Name a person born in Fernie, British Columbia.
http://xmlns.com/foaf/0.1/gender;What is song hae's gender
http://dbpedia.org/ontology/place;which event was located in buenos aires
http://dbpedia.org/ontology/recordLabel;name an artist signed by sony music entertainment.
http://dbpedia.org/ontology/birthPlace;what former hockey player was born in chicago heights, illinois
http://purl.org/linguistics/gold/hypernym;what kind of book is such is my beloved
http://purl.org/linguistics/gold/hypernym;what is the name of an album released by donna summer
http://xmlns.com/foaf/0.1/gender; what gender is cornelis de man
http://xmlns.com/foaf/0.1/gender;what is the gender of mario bauza
http://dbpedia.org/ontology/author;who wrote quark/4
http://dbpedia.org/ontology/genre;in what genre does the artist quincy perform in
http://dbpedia.org/property/studio;what company produced american pie presents: the naked mile
http://dbpedia.org/ontology/birthPlace;where was hannes sigfusson born
http://purl.org/linguistics/gold/hypernym;What is sunset drive most commonly known as?
http://dbpedia.org/ontology/creator;What program did tyra banks create?
http://dbpedia.org/ontology/birthPlace;Where was antoine danchet born
http://dbpedia.org/ontology/writer;who wrote the way we were?
http://dbpedia.org/ontology/timeZone;What's a place in central european time zone
http://dbpedia.org/property/productionCompanies;what company produced the film letters from iwo jima
http://dbpedia.org/ontology/position;What country was the film the horror vault: part 1 produced in
http://dbpedia.org/ontology/genre;Name a musician in the j-pop genre.
http://dbpedia.org/ontology/author;Who's the author that wrote piranha to scurfy
http://dbpedia.org/ontology/location;What county is lake wingra in
http://dbpedia.org/property/modes;what game requires multiplayer
http://dbpedia.org/ontology/artist;What is the name of an album by the bouncing souls
http://dbpedia.org/ontology/publisher;who was the publisher behind wizards & warriors
http://dbpedia.org/ontology/birthPlace;Where exactly was marian golinski born
http://dbpedia.org/ontology/battle;What war did henning schonfeld participate in
http://dbpedia.org/ontology/artist;What is one of the tracks released by pink floyd?
http://xmlns.com/foaf/0.1/gender;What is dearbhla walsh's gender?
http://dbpedia.org/ontology/literaryGenre;what is the name of a 2006 speculative fiction novel
http://purl.org/linguistics/gold/hypernym;what is Edouard jaguer known for
http://dbpedia.org/ontology/genre;what kind of album is taxidermy?
http://dbpedia.org/ontology/genre;which hardcore punk artists come from south florida?
http://purl.org/linguistics/gold/hypernym;what was the release type of the album submarine bells
http://dbpedia.org/ontology/genre;who is a punk rock artist
http://dbpedia.org/ontology/birthPlace;which south american country does thiago martins belong to?
http://dbpedia.org/ontology/language;in what language is the ace of scotland yard spoken
http://dbpedia.org/ontology/position;was andrea guerra a playmaker or defender on the pitch
http://dbpedia.org/ontology/ideology;what ideology does the  social democratic front have
http://dbpedia.org/ontology/director;Which film did tarsem singh direct?
http://dbpedia.org/ontology/literaryGenre;what is a fiction book based around StarTrek
http://dbpedia.org/ontology/writer;Who wrote the film big leaguer
http://dbpedia.org/ontology/genre;What type of music does the riverboat gamblers play?
http://dbpedia.org/ontology/isPartOf;which area is located within kansas
http://dbpedia.org/ontology/writer;who wrote chronicle of amorous accidents?
http://dbpedia.org/ontology/genre;What type of tv series is wild card
http://dbpedia.org/ontology/programmeFormat;what station in the des moines, iowa area broadcasts sports radio
http://dbpedia.org/ontology/genre;What is a game that is categorized as a shooter game
http://dbpedia.org/ontology/type;what types of school is st. matthias high school
http://dbpedia.org/ontology/genre;what game genre is after burner climax?
http://purl.org/linguistics/gold/hypernym;what is the release type of the old kit bag
http://dbpedia.org/ontology/nationality;what is laurie sapper nationality
http://purl.org/linguistics/gold/hypernym;What is kevin pollak's profession?
http://dbpedia.org/ontology/hometown;Where did heller originat
http://dbpedia.org/ontology/isPartOf;what is a zip code in summit county
http://dbpedia.org/ontology/hometown;what is the origin of the artist marcin nowak
http://dbpedia.org/ontology/place;which ongoing military operation is happening in the arabian sea
http://dbpedia.org/ontology/genre;What type of music is murmur (album)
http://dbpedia.org/ontology/producer;Who was the executive producer of casino royale
http://dbpedia.org/ontology/genre;what genre of music is the album electrical storm in?
http://dbpedia.org/ontology/language;what language does the romani people in spain speak
http://purl.org/linguistics/gold/hypernym;what is jiang xin profession
http://dbpedia.org/ontology/language;what language do the characters in walang hanggan speak
http://dbpedia.org/ontology/type;Is east brunswick high school a high school or elementary school
http://purl.org/linguistics/gold/hypernym;How was in the heart of everyone released
http://dbpedia.org/ontology/genre;how is the movie the greatest american hero classified
http://dbpedia.org/ontology/musicComposer;who provided the music for the film dragons forever?
http://dbpedia.org/ontology/headquarter;what country does the tishreen newspaper circulate?
http://dbpedia.org/ontology/writer;who is the story of deliverance by
http://dbpedia.org/ontology/genre;what kind of music is the greenhornes known for
http://dbpedia.org/ontology/country;oberhausen bei kirn is located in what city in Germany
http://dbpedia.org/ontology/position;Which position did pierre pibarot play?
http://xmlns.com/foaf/0.1/gender;what is andre dirrell's gender
http://dbpedia.org/ontology/position;Which position in football did jens keller play
http://dbpedia.org/ontology/birthPlace;Name someone born in Japan
http://dbpedia.org/ontology/distributor;What is a film released by castle rock entertainment?
http://purl.org/linguistics/gold/hypernym;what was paintin' the town brown: ween live 1990-1998
http://dbpedia.org/ontology/writer;who composed i have dreamed
http://dbpedia.org/ontology/hometown;where does steve brown have origins
http://purl.org/linguistics/gold/hypernym;What is oton Zupancic's profession?
http://dbpedia.org/ontology/country;What district is horsford a village of
http://dbpedia.org/ontology/location;which state is merion cricket club in
http://dbpedia.org/ontology/producer;who produced the film for me and my gal
http://dbpedia.org/property/namedFor;preble county, ohio was named after which naval officer?
http://dbpedia.org/ontology/artist;what are songs by willie nelson?
http://dbpedia.org/ontology/genre;What type of music does model a make
http://dbpedia.org/ontology/musicComposer;Which film did charlie chaplin act and direct?
http://dbpedia.org/ontology/writer;Who wrote licence to kill?
http://purl.org/linguistics/gold/hypernym;what is the occupation of sergio george
http://dbpedia.org/ontology/isPartOf;what's a city within the north rhine-westphalia
http://dbpedia.org/ontology/locatedInArea;which continent is stob choire claurigh in
http://dbpedia.org/ontology/country;where does the segget river run through?
http://dbpedia.org/ontology/country;What is a comune located in Italy?
http://dbpedia.org/ontology/position;what position does  brandon phillips play
http://dbpedia.org/ontology/genre;what is the name of a 2002 compilation alternative rock album
http://dbpedia.org/ontology/artist;What is the name of a compilation album by t. rex
http://purl.org/linguistics/gold/hypernym;what is the release type of danse manatee?
http://xmlns.com/foaf/0.1/gender;is moshe safdie a male or female
http://dbpedia.org/ontology/location;What is the zip code of aqueduct racetrack?
http://dbpedia.org/ontology/birthPlace;Who is the American missionary born in pennsylvania?
http://dbpedia.org/ontology/genre;what kind of music does mistahfab perform
http://dbpedia.org/ontology/writer;who wrote hooked
http://dbpedia.org/ontology/position;what position does ben hickey play
http://dbpedia.org/property/modes;what gameplay mode is super monkey ball deluxe
http://xmlns.com/foaf/0.1/gender;which gender does jean-fery rebel belong to
http://dbpedia.org/ontology/deathPlace;where did bidhan chandra roy die?
http://dbpedia.org/ontology/genre;which genre of music is the new adventures in hi-fi album
http://xmlns.com/foaf/0.1/gender;what is cb dollaway's gender
http://dbpedia.org/ontology/birthPlace;where was heinz stettler born?
http://dbpedia.org/ontology/type;What type of institution is fairland high school?
http://dbpedia.org/ontology/battle;Who was an individual involved in world war ii?
http://dbpedia.org/ontology/artist;whats the title of jason chan's album
http://dbpedia.org/ontology/programmeFormat;which station provides talk radio in michigan?
http://dbpedia.org/ontology/director;who directed the film alfie
http://purl.org/linguistics/gold/hypernym;What is the genre of the silver surfer?
http://dbpedia.org/ontology/director;72 tenants of prosperity was directed by who?
http://purl.org/linguistics/gold/hypernym;Name an actress
http://dbpedia.org/ontology/instrument;what instrument does group member rza  play
http://dbpedia.org/property/religion;What religion is practiced by saad bin laden?
http://purl.org/linguistics/gold/hypernym;what book genre is tales of the jazz age?
http://dbpedia.org/ontology/creator;who created the character dan turpin
http://purl.org/linguistics/gold/hypernym;What is gene callahan (economist)
http://dbpedia.org/ontology/timeZone;Which time zone is geldermalsen located in
http://purl.org/linguistics/gold/hypernym;what kind of book is sent for you yesterday
http://dbpedia.org/ontology/type;What type of lake is stump pond
http://dbpedia.org/ontology/genre;what artist plays garage rock music?
http://dbpedia.org/property/genre;What type of program is birdy the mighty
http://dbpedia.org/ontology/genre;what type of music is king
http://xmlns.com/foaf/0.1/gender;What is Seosamh O Duibhginn's gender?
http://dbpedia.org/ontology/birthPlace;where was david lyner born
http://dbpedia.org/ontology/owner;What company owns the radio station wdov?
http://purl.org/linguistics/gold/hypernym;what is korean central news agency known as?
http://dbpedia.org/ontology/birthPlace;Name a person born in cleveland, ohio.
http://dbpedia.org/ontology/literaryGenre;is the mysterious mr quin fiction or nonfiction
http://dbpedia.org/ontology/position;What position does Kiko Alonso play?
http://dbpedia.org/ontology/type;what kind of album is lulu
http://dbpedia.org/ontology/birthPlace;Where was jeffrey p. buzen born
http://dbpedia.org/ontology/field;What type of art does piero della francesca create
http://purl.org/linguistics/gold/hypernym;whats an example of an album
http://dbpedia.org/ontology/isPartOf;where is the cuddalore district located
http://purl.org/linguistics/gold/hypernym;What is christian zahra known for being?
http://dbpedia.org/ontology/literaryGenre;the book wizard, written in 1980, is of what genre
http://dbpedia.org/ontology/literaryGenre;what are examples of mystery books
http://dbpedia.org/ontology/type;What is the name of a research school
http://dbpedia.org/ontology/timeZone;What is the time zone of richland township
http://purl.org/linguistics/gold/hypernym;what is the type of release of she like electric?
http://dbpedia.org/ontology/genre;what album is from the pop music genre pop music?
http://dbpedia.org/ontology/birthPlace;who is a famous person born in antwerp
http://dbpedia.org/ontology/artist;what is a track by etienne de crecy?
http://purl.org/linguistics/gold/hypernym;colville national forest is a notable type of what
http://dbpedia.org/ontology/battle;which military person was involved in world war ii?
http://dbpedia.org/ontology/cinematography;Who did the cinematography of tango
http://dbpedia.org/ontology/locatedInArea;Which famous mountain is located in switzerland?
http://dbpedia.org/ontology/genre;What type of rock does the man from utopia play
http://dbpedia.org/ontology/deathPlace;Where did vasili iii of russia pass away
http://dbpedia.org/ontology/genre;what is the genre in which the artist paint performs in
http://dbpedia.org/ontology/country;what country is manaus located
http://dbpedia.org/ontology/nationality;Where is jorg huffschmid from?
http://dbpedia.org/ontology/producer;Who produced saving shiloh?
http://dbpedia.org/ontology/birthPlace;what is john steppling's place of birth
http://purl.org/linguistics/gold/hypernym;what does klinefelter syndrome mean
http://dbpedia.org/ontology/deathPlace;which city did freddy bienstock die
http://xmlns.com/foaf/0.1/gender;is siyanda xulu male or female
http://dbpedia.org/ontology/genre;which african poet is best known for spoken word?
http://dbpedia.org/ontology/position;which general position does william mocquet play
http://dbpedia.org/ontology/series;what series did resident evil: the darkside chronicles come from
http://dbpedia.org/ontology/developer;which company made the software netscape messenger 9
http://dbpedia.org/ontology/director;What is a film that leo mccarey directed?
http://dbpedia.org/ontology/birthPlace;where was harry trott given birth
http://dbpedia.org/ontology/deathCause;what was the cause of death of suicide
http://dbpedia.org/ontology/headquarter;where does the newspaper catania circulate
http://dbpedia.org/ontology/writer;Who wrote the film the tourist
http://purl.org/linguistics/gold/hypernym;what is the release type of gold
http://dbpedia.org/ontology/instrument;What is an instrument paul thomson plays?
http://dbpedia.org/ontology/director;What is a film directed by mel damski?
http://dbpedia.org/ontology/genre;what classification is the venture bros.
http://dbpedia.org/ontology/genre;What is the name of a eurodance artist
http://dbpedia.org/ontology/deathPlace;where is the place of death of kishore sahu?
http://dbpedia.org/ontology/birthPlace;what country was gretta bader given birth in
http://dbpedia.org/ontology/genre;what is the name of a jazz fusion artist
http://xmlns.com/foaf/0.1/gender;what is yosef tekoah's gender
http://dbpedia.org/ontology/genre;what type of program is sliders?
http://dbpedia.org/ontology/writer;who was the lyricist for the song all night long
http://xmlns.com/foaf/0.1/gender;What is simon schaffer's gender?
http://dbpedia.org/ontology/field;What is h. c. westermann's art style?
http://dbpedia.org/property/genre;what tv genre is rei rei in
http://dbpedia.org/property/modes;which gameplay mode does penny racers follow
http://dbpedia.org/ontology/class;what kind of car is the fso polonez
http://dbpedia.org/ontology/genre;What netflix genre does the dick van dyke show belong to
http://dbpedia.org/ontology/publisher;who is the american publisher of the game blinx 2: masters of time and space?
http://dbpedia.org/ontology/position;what position does earl williams play?
http://dbpedia.org/ontology/genre;what types of music is speak now
http://dbpedia.org/ontology/isPartOf;what is located in isabella county, michigan?
http://xmlns.com/foaf/0.1/gender;What gender is vincent brome
http://dbpedia.org/ontology/deathPlace;Where did molly brant die?
http://dbpedia.org/ontology/birthPlace;Which Spanish football player was born in ceuta?
http://purl.org/linguistics/gold/hypernym;Name a composer.
http://dbpedia.org/ontology/field;What form of art is manuel espinosa most famous for?
http://dbpedia.org/ontology/artist;What's a song from cher
http://dbpedia.org/ontology/birthPlace;where was namini subrahmanyam naidu born
http://dbpedia.org/ontology/genre;Which artists play alternative rock?
http://dbpedia.org/ontology/literaryGenre;the book the mummy, or ramses the damned was done in what genre
http://purl.org/linguistics/gold/hypernym;Who is john mueller known as?
http://dbpedia.org/ontology/field;which art forms is the visual artist elizabeth thompson known for?
http://dbpedia.org/ontology/genre;What is the genre of music made by glassjaw
http://dbpedia.org/ontology/birthPlace;where was miroslav holub born
http://dbpedia.org/ontology/recordLabel;which artist is signed to sony bmg music entertainment
http://dbpedia.org/ontology/country;which island is baressa on
http://dbpedia.org/ontology/country;Where is Lannion located?
http://purl.org/linguistics/gold/hypernym;how was grimm tales released
http://dbpedia.org/ontology/deathPlace;where did knud karl krogh-tonning die
http://dbpedia.org/ontology/literaryGenre;what is a 1980 speculative fiction book
http://dbpedia.org/ontology/developer;Who developed adobe freehand?
http://dbpedia.org/ontology/birthPlace;What is the birth place of kouhei kadono?
http://dbpedia.org/ontology/birthPlace;what Italian hammer is from palmanova
http://dbpedia.org/ontology/industry;what is a company the operates in the financial services industry
http://dbpedia.org/ontology/deathPlace;where did harold sandford mugford die
http://dbpedia.org/ontology/literaryGenre;what is a suspense book
http://dbpedia.org/property/birthPlace;Where was steve israel born?
http://dbpedia.org/ontology/artist;What is an album by lionel hampton?
http://purl.org/linguistics/gold/hypernym;what is tops in blue
http://dbpedia.org/ontology/artist;what is an album by the saints
http://dbpedia.org/ontology/artist;What is an album by ne-yo?
http://dbpedia.org/ontology/architecturalStyle;what is the architectural style of rochdale town hall?
http://dbpedia.org/ontology/country;which country produces bloodstained memoirs
http://dbpedia.org/ontology/genre;what kind of music is on re?
http://dbpedia.org/ontology/religion;what type of creed is practiced by allen trovillion
http://dbpedia.org/ontology/artist;what was the name of the compilation album by ike and tina turner
http://dbpedia.org/ontology/birthPlace;One individual born in dayton, ohio is?
http://dbpedia.org/ontology/genre;whats the genre of the album live at the epicentre
http://dbpedia.org/ontology/birthPlace;What is the origin of lumidee
http://dbpedia.org/ontology/director;what tv episodes has tawnia mckiernan directed
http://dbpedia.org/ontology/child;What is the name of one of Ozzie Nelson's children?
http://dbpedia.org/ontology/spokenIn;what country is  berau malay language spoken
http://dbpedia.org/ontology/foundedBy;Which organization did joel silver found
http://dbpedia.org/ontology/country;What country is cottenham in
http://dbpedia.org/ontology/genre;what kind of music does bob andrews (keyboardist) perform
http://dbpedia.org/ontology/instrument;Who plays the drum kit?
http://xmlns.com/foaf/0.1/gender;What was thomas tennebo's gender?
http://dbpedia.org/ontology/genre;What's a melodic death metal album by soilwork
http://dbpedia.org/ontology/director;which film was bernard knowles the director
http://dbpedia.org/ontology/position;What position does chris jones play?
http://xmlns.com/foaf/0.1/gender;What is the gender of noel murphy?
http://dbpedia.org/ontology/birthPlace;who was born in kawachi province?
http://dbpedia.org/ontology/location;What is a commune is gard?
http://dbpedia.org/ontology/writer;what music is composed by willie nelson
http://dbpedia.org/ontology/literaryGenre;what types of book is alchemy
http://dbpedia.org/ontology/genre;what music style does chixdiggit perform
http://dbpedia.org/ontology/deathPlace;what was the place of death of alma julia hightower
http://purl.org/linguistics/gold/hypernym;Which album was released in australia in 1986?
http://dbpedia.org/ontology/artist;justin timberlake has a track that is how long?
http://dbpedia.org/ontology/location;where is the lyric opera house located in
http://dbpedia.org/ontology/genre;What is the type of music babasonicosoficial makes?
http://dbpedia.org/ontology/writer;What film did mansoor khan contribute to?
http://dbpedia.org/ontology/owner;Who is the owner of the radio station heart wiltshire
http://dbpedia.org/ontology/isPartOf;what is located in bardhaman district
http://dbpedia.org/ontology/genre;What is the genre of music blood on the dance floor makes?
http://purl.org/linguistics/gold/hypernym;what is andrea elisabeth rudolph known as?
http://dbpedia.org/ontology/director;Who directed the movie bernard and doris?
http://purl.org/linguistics/gold/hypernym;who was a famous writer
http://dbpedia.org/ontology/genre;Which death metal was released by crionics?
http://purl.org/linguistics/gold/hypernym;How was valentyne suite released
http://dbpedia.org/ontology/location;what city is st. charles-muller's hotel located
http://dbpedia.org/ontology/isPartOf;which area is found in missaukee county, michigan
http://dbpedia.org/ontology/location;Where is fort stockton-pecos county airport contained
http://dbpedia.org/ontology/literaryGenre;What's a fiction book written by simon hawke
http://dbpedia.org/ontology/producer;what is a film coproduce by yash chopra
http://purl.org/linguistics/gold/hypernym;what is john maloney's profession?
http://dbpedia.org/ontology/birthPlace;Where in the United States was dyan sheldon born?
http://dbpedia.org/ontology/isPartOf;What is the name of a town in san francisco bay area?
http://dbpedia.org/ontology/birthPlace;where was winnie haatrecht born
http://dbpedia.org/ontology/birthPlace;which city was raymon gaddis born in
http://dbpedia.org/ontology/genre;what kind of music is on the album titas - 84 94 um
http://dbpedia.org/ontology/genre;what kind of music genre is this toilet earth
http://dbpedia.org/ontology/hometown;Where is the love language from
http://dbpedia.org/ontology/city;What city does pittsburgh international airport serve
http://dbpedia.org/ontology/parent;what is charlie haden's daughter's name
http://dbpedia.org/property/modes;which type of game mode is excalibur
http://dbpedia.org/ontology/birthPlace;which actor was born in chicago?
http://dbpedia.org/ontology/author;What is the name of a notable book written by jack vance
http://dbpedia.org/ontology/literaryGenre;what type of novel is the brush-off
http://purl.org/linguistics/gold/hypernym;what form does i me mine come in
http://dbpedia.org/ontology/location;Where in europe is st benedicts church, haltham-on-bain
http://purl.org/linguistics/gold/hypernym;what is misdemeanor
http://dbpedia.org/ontology/hometown;what city is hector from
http://dbpedia.org/ontology/country;where is yering
http://dbpedia.org/ontology/genre;which genre of music is the album the night the light went on (in long beach) in?
http://dbpedia.org/ontology/musicComposer;who contributed music in stand and deliver
http://dbpedia.org/ontology/isPartOf;what is a neighborhood located in madison county
http://dbpedia.org/ontology/director;which film did yukihiko tsutsumi direct
http://dbpedia.org/ontology/birthPlace;carol plum-ucci was born in which north east US city?
http://dbpedia.org/ontology/director;Who directed the movie moulin rouge!
http://dbpedia.org/ontology/position;The name of a baseball player that plays the position of catcher is?
http://dbpedia.org/ontology/recordLabel;which label is jaz coleman signed to
http://dbpedia.org/ontology/literaryGenre;What kind of book is the seeing stone
http://dbpedia.org/ontology/publisher;m1 tank platoon was published under what company?
http://dbpedia.org/ontology/timeZone;where is a place in the north american central time zone
http://dbpedia.org/ontology/country;which country locates dodoma region
http://dbpedia.org/ontology/nationality;what nationality does francisco camps identify as?
http://dbpedia.org/ontology/deathCause;What person died from a car accident?
http://dbpedia.org/ontology/isPartOf;What country is arak in
http://dbpedia.org/ontology/genre;what kind of music does dark suns play?
http://dbpedia.org/ontology/language;in what language is the book the village schoolmaster written
http://dbpedia.org/ontology/isPartOf;where would you find plymouth village
http://dbpedia.org/ontology/country;where is the warringah council located
http://purl.org/linguistics/gold/hypernym;What asteroid was discovered at nauchnyj?
http://dbpedia.org/ontology/hometown;which city is the cryin shames from
http://dbpedia.org/ontology/type;what type of album was after bathing at baxters
http://dbpedia.org/ontology/birthPlace;Which presidential son was born in st. louis?
http://dbpedia.org/ontology/genre;What style of music is the album the lex diamond story?
http://dbpedia.org/ontology/genre;What's a thrash metal band from singapore
http://dbpedia.org/ontology/developer;What game has been developed by matthew smith (games programmer)
http://dbpedia.org/ontology/genre;what genre of game is age of mythology
http://dbpedia.org/ontology/industry;what does mgm home entertainment operate in?
http://purl.org/linguistics/gold/hypernym;Name a cartoonist
http://xmlns.com/foaf/0.1/gender;what is jeff evans's gender?
http://dbpedia.org/ontology/birthPlace;Who's a lawyer born in piqua, ohio
http://dbpedia.org/ontology/recordLabel;which label does atomic rooster work for
http://dbpedia.org/ontology/birthPlace;where was brian priestman born
http://dbpedia.org/ontology/creator;What tv program did mark goodson create?
http://xmlns.com/foaf/0.1/gender;what gender does cory cyrenne identify as
http://dbpedia.org/ontology/position;What position does helmut hermann play in soccer
http://dbpedia.org/ontology/region;which country contains matsue
http://purl.org/linguistics/gold/hypernym;What was the profession of harvey gentry?
http://dbpedia.org/property/weight;What is the weight division of james smith
http://dbpedia.org/ontology/language;what language is trapped available in
http://dbpedia.org/ontology/literaryGenre;what genre is the book syrup
http://dbpedia.org/ontology/battle;Who was a military personnel involved in the vietnam war?
http://dbpedia.org/ontology/timeZone;what country is located in south africa standard time zone
http://dbpedia.org/ontology/genre;Name a punk rock artist.
http://dbpedia.org/ontology/birthPlace;what was heine fernandez's place of birth
http://dbpedia.org/ontology/genre;What is an example of a strategy video game
http://dbpedia.org/ontology/doctoralAdvisor;who was peter goldreich's academic advisor
http://dbpedia.org/ontology/isPartOf;What city is located in Chenango County, New York?
http://dbpedia.org/ontology/recordLabel;what is a drug formulation?
http://dbpedia.org/ontology/recordLabel;Who's an artist off metal blade records
http://dbpedia.org/ontology/country;what continent is nehalem river in?
http://dbpedia.org/ontology/location;Which state can be found in house at 23 east street?
http://dbpedia.org/ontology/director;who directed the crowd roars
http://dbpedia.org/ontology/country;which asian city showcasts the gloomy salad days program
http://dbpedia.org/ontology/position;What is emil forsberg's soccer player position?
http://dbpedia.org/ontology/literaryGenre;What is a book of the fiction literary genre?
http://dbpedia.org/ontology/artist;what is the name of an album by  bob marley
http://dbpedia.org/ontology/genre;what type of music does miho hatori make?
http://dbpedia.org/ontology/genre;what is an album in pop music
http://purl.org/linguistics/gold/hypernym;What type of genre is middleware
http://dbpedia.org/ontology/type;What type of school is brick township high school
http://dbpedia.org/ontology/birthPlace;what country does borush live in
http://dbpedia.org/ontology/birthPlace;where was christophe mandanne born
http://dbpedia.org/ontology/position;what position does lance blankenship play at?
http://purl.org/linguistics/gold/hypernym;What kind of show is bergerac (tv series)?
http://dbpedia.org/ontology/birthPlace;Name someone born in los angeles
http://dbpedia.org/ontology/genre;what kind of program is ancient aliens
http://dbpedia.org/ontology/genre;Name a soft rock artist.
http://dbpedia.org/ontology/industry;which type of industry is ohio bell a part of
http://dbpedia.org/ontology/genre;Name an artist in the genre alternative country
http://purl.org/linguistics/gold/hypernym;What was perfecto presents... the club released as
http://dbpedia.org/ontology/creator;who created rupert thorne
http://dbpedia.org/ontology/genre;what kind of music is on friendliness?
http://xmlns.com/foaf/0.1/gender;what sex does decimus burton identify with
http://purl.org/linguistics/gold/hypernym;What type of facility is the nassau veterans memorial coliseum?
http://dbpedia.org/ontology/writer;which film did gwyneth hughes write
http://xmlns.com/foaf/0.1/gender;what is the gender of mike mills?
http://dbpedia.org/ontology/deathPlace;where did gabriel coury pass away
http://dbpedia.org/ontology/isPartOf;what city is in  jackson county
http://dbpedia.org/ontology/genre;Which genre is the album rheinita associated with
http://dbpedia.org/ontology/birthPlace;which city was richard crashaw born in
http://dbpedia.org/ontology/isPartOf;which county is mistletoe located in
http://dbpedia.org/ontology/isPartOf;What city is elizabeth city, north carolina in
http://dbpedia.org/ontology/musicComposer;what film was  michel magne the music contributor of
http://dbpedia.org/ontology/genre;what is the genre of the artist electrosexual?
http://dbpedia.org/ontology/country;which country released zozo
http://dbpedia.org/ontology/birthPlace;who was born in little rock, arkansas?
http://dbpedia.org/ontology/birthPlace;what country is jean-pierre denis from
http://purl.org/linguistics/gold/hypernym;what type of musical composition is the grace album
http://dbpedia.org/ontology/headquarter;What is a newspaper that is circulated in belleville
http://purl.org/linguistics/gold/hypernym;What's a notable asteroid
http://dbpedia.org/ontology/artist;What is a track from the artist Pearl Jam?
http://dbpedia.org/ontology/country;what country is florina in
http://dbpedia.org/ontology/timeZone;what time zone is norway in
http://dbpedia.org/property/modes;what mode can you play bionicle heroes
http://dbpedia.org/ontology/timeZone;What is a place located inside the central european time zone
http://dbpedia.org/ontology/writer;who did the film story credits for abhijat joshi
http://dbpedia.org/property/modes;Which is the name of a multiplayer game that is based off of an anime?
http://dbpedia.org/ontology/country;which european basin countries does the valea mare river pass through?
http://dbpedia.org/ontology/sourceCountry;Which country is the prims river located in
http://dbpedia.org/ontology/genre;who is a known country artist
http://purl.org/linguistics/gold/hypernym;What type of astral body is uu aurigae?
http://dbpedia.org/ontology/birthPlace;Where was Thorold Dickinson born?
http://dbpedia.org/ontology/type;What type of lake is nicasio reservoir?
http://dbpedia.org/ontology/writer;in what film did ellory elkayem contribute?
http://dbpedia.org/ontology/instrument;what music instrument does bryan sutton play
