class;question
RES;List some teammates of Ndonga Mianga?
RES;List the characters of Lysistrata ?
BOOL;Is Joe Schilling the trainer of Nick Diaz?
RES;Which TV shows distributor is Broadcast syndication and developed by Brian Graden ?
NUM;In how many districts is there a borough called tendring?
RES;What games are played at universities in Lanao Del Sur?
NUM;For everyone who died in paris, count their different fields of work.
RES;What is the award won of the scientists known for Cubic Hermite spline?
RES;What is the meaning of Heydar ?
RES;Which composer subsequent work of Moondog Matinee and also composed The TImes They are A changin ?
NUM;On how many different grounds were seasons chaired by Ronaldo held?
RES;Sentinel High School  team is known as ?
BOOL;Sampson Cudjoe plays for the Ghana national team?
RES;Where does the publisher of Kathimerini live?
RES;Name the basketball team which is coached by Louis Dunbar and has president as Jeff Munn ?
NUM;Give me a count of all ice hockey players whose teams are headcoached by John Tortorella?
RES;Which draft team of bob Macmillan is also the prospect team of Mikhail Pashnin ?
NUM;How many leagues have used the O.co Coliseum?
RES;What is the common palce of study for jack McGregor and Philip W. Pillsbury ?
RES;Under which president did Loretta Ucelli and Ann Lewis hold an office?
RES;What team did the players start their careers with, who right now play for Fleisher Yarn?
RES;What sports are played at institutes affiliated by the Association of Southeast Asian Institutes of Higher Learning?
RES;Where did the people die who were known for Young Life?
RES;Who are the chancellors of universities which is affiliated with Plymouth University?
BOOL;Does Lionel Messi play in the Argentina National Football Team?
RES;Which awards did the narrator of Oscar and Lucinda win?
RES;What is the musical whose music is by Jose Luis Narom,  based upon?
BOOL;Is the Providence Chapel, Charlwood made in New English style of architecture?
RES;Which workplace of the Michael M. Sears is also the  governing body of the Burro Flats Painted Cave?
RES;Who was on the boards of Freedom of the City and Royal Society?
RES;Who are the people which ITV(TV network) has employed?
RES;What is the broadcast area of WBCQ (SW) ?
RES;What religion did the president follow which was served by Kang Young-hoon?
RES;Which kind of buildings are found in England?
RES;In which state is the team, which has John Roeslein?
RES;Which awards has been given to both michel hazanavicius and geoffrey rush?
NUM;Give me the count of all people who ascented a peak in California?
NUM;List the total number of regions of the building whose are located in\Grand Forks Air Force Base?
BOOL;Is Halyna Kukhar the former coach of Stanislav Morozov?
RES;Rickenbacker is a musical instrument played by which artists?
RES;List down all the associcated musical artist of the artist of In a Word or 2 ?
RES;List the home town of the people who have Ontario as one of it ?
NUM;Joe Shuster has created how many comics character ?
RES;Which currency is primarily used by the company which is the distributing label of VDE-Gallo Records?
RES;Name whose youth club was FC Barcelona ?
RES;Which awards did the writer of Persona win ?
RES;What is the highschool of the american football player who joined the Robert Morris Colonials program?
BOOL;Was the Army Air Corps honored for the battle of Iraq?
NUM;How many awards have graduates from the University of Queensland earned?
RES;Which artist was taught by Jos Ruiz y Blasco?
RES;What is the location of Sam Sen Railway Station ?
RES;Which ground of 2016 Fort Lauderdale Strikers season is the palce of birth of Kaitlyn Ashley ?
RES;Which minister was responsible for Kriminalpolizie?
RES;Which TV show produced by Paramount Television and is located in Massachusetts ?
RES;Name the sea located near Europe and has a nearby city as Rostock ?
RES;What ingredients are used in preparing the dish of Ragout fin?
RES;What is the former partner of the figure skaters whose current partner is Alexa Scimeca?
NUM;In how many nations does Rhaetian Railways own train stations?
BOOL;Does Saneh Lungkeaw play for the Thailand's national team?
RES;Which company released the software RenderMan?
RES;In which cities are there american football teams where Matt Snorton played?
RES;"Which country's national motto is ""Truth prevails""?"
RES;What is the homeport of INS Viraat (R22) ?
RES;What is the largest city of the country where P. Sathyanarayanan was born?
RES;Which county of Tremont Avenue is also the birht place of Ron Galotti ?
RES;Where was William anthony trained ?
RES;Which parent organization of Get TV also owns the Galleria ?
RES;Name the wine regions of Bogdanua ?
RES;What is the resting place of the child of Linda Lee Cadwell?
RES;Which board game can be said as a mind based game?
RES;Where are the philosophers from, whose main work is on the matter of feminism in Canada?
RES;What are the things built by Eristoff ?
RES;What is the official residence of Sarah Kazemy ?
RES;What are shows whose theme music composer's home town is New York?
RES;Name the university whose affiliations's foundation is in Washington, D.C.?
RES;Who was the coach of 1972 Oakland Raiders season ?
RES;Whcih land of Citi Trends is also the constituency of Malik Al-Hassan Yakubu ?
RES;Which TV show's composer is Judy  Hart  Angelo and executive producer as Glen and Les Charles?
RES;Where did they debut their careers , those who have played for US men's national soccer team?
RES;What are on the borders of Shimsa Plateau?
RES;What is the former team of the american football players whose position is Running back?
RES;Which creator of Theme Time Radio Hour has also given the  musical score of the The Times They Are a-Changin' (musical)?
NUM;How many different kinds of games are published by Interplay Entertainment?
RES;What other awards have been given to Goya Award Winners?
NUM;How many other important work has been done by the writers of Sarah Jane Adventures?
RES;Race horses whose grandsire is Wild  Risk have taken part in which races?
RES;Who are the tenants of the stadium which is a venue of WCW Mayhem ?
RES;Which coach of Marquette Golden Eagles men's basketball team is also the head coach  of Virginia Tech Hokies men's basketball team ?
RES;Which are the races in which Martin Molony participated?
RES;With what company is the service OneDrive associated?
RES;Where common region are soylent and bannock sold?
RES;What awards have been given to citizens of the Ottoman Empire?
RES;List the science fiction shows broadcasted on BBC HD ?
RES;Who is the person opposed  by Tom McLaury and Ike Clanton?
RES;List the products of Playboy Enterprises?
RES;Name the  former broadcast network of the television station which is the sister stations of WGBC?
RES;What is the country of the Hirth Acrostar and the Cobra missile?
RES;What  is the Nickname of Daniel O'Regan ?
RES;Who owns the websites for which Jimmy wales writes?
RES;What are the bridges whose located in California?
RES;Which settelment area is the home town of the Danny Felice and Cline Buckens?
RES;Who were the head of government agencies working in the German occupied Europe?
RES;Name the companies which are in cities under Denzil Minnan Wong?
RES;What is the largest city of the birthplace of Pat Kirkwood?
RES;Which source of Water resources management in El Salvador is also the nation of the Sierra del Merendn?
RES;What is the academic journal whose editor is Stephen Law?
RES;What awards have the alumni of Academy of Fine Arts in Lodz achieved?
RES;Name the members of youth clubs which have Camp Nou as their homeground.
BOOL;Does mumbai manage the railway line going to the daund railway junction?
RES;Which musical artist associated with Tony Allen has label with Celluloid Records ?
RES;Who are some basketball players who played for Phoenix Suns?
RES;Which relative of George Madison was the leader of United States House of Representatives elections, 1788 and 1789 ?
NUM;From how many works is the musical derived, whose lyrics are written by Sheldon Harnick?
RES;Which office holder allegiance is Colony of Virginia and was has a wife named Dolley Madison ?
BOOL;Was Derg the anthem of Ethopia?
RES;Employees of Ottawa Citizen have come from which towns?
NUM;How many non-fiction subject are there of the books whose one of the non-fiction subject is Ankh-Morpork City Watch ?
RES;Who is the licensee of EXXV-TV ?
RES;Who are in the board of Jimmy Wales ?
RES;Where were some people associated with Steve Winwood employed at?
RES;What is the origin of the musical artist whose associated band is Ziggi Recado ?
RES;Who is the nominee of Jack Ryan ?
RES;Which division of Serbia national team is also the region of Dobinsk Ice Cave ?
RES;Name the royalty whose spouse was Cleopatra V of Egypt and one of his parent was Ptolemy XII Auletes?
RES;List the major shrines of Jovan Vladimir?
RES;Name some shows whose company is owned by the CBS Corporation?
RES;Which famous person is born in Marlboro Township, New Jersey?
RES;In which countries have the Start + Flug aircrafts originated?
NUM;How many other family of the mammals exists  whose family is also Hominidae ?
RES;What is the former team of the football player who is the coach of 2006 Oakland Raiders season ?
NUM;How many  TV shows were made by someone who was associated with Lewis Hamilton?
NUM;For how many other teams have the former players of Boston Bruins played?
RES;Which things have been made by artists who died in Midhurst?
RES;What are the TV shows whose network is also known as the CW?
NUM;How many other important things has the painter of Sarah Jane Adventures done?
RES;Which founder of sea Gayle Music is also the judge of Rising Star ?
RES;Who owns the ford kansas assembly plant?
RES;What is the label of I Pray on Christmas ?
RES;List the destination of Novair International Airways ?
RES;Who is the spouse of Willian Menalaus?
NUM;Count the number of actors in Lucy Sullivan Is Getting Married.
RES;What mammals are classified into Diprotodontia ?
NUM;The Other Side has hosted how many guests?
RES;Name the river with source as Columbia Lake and river mouth is located in Clatsop Country ?
BOOL;Is Dave Schulz a band member of Berlin?
RES;What are the airlines whose hub airport is Los Angeles International Airport?
RES;what are some famous people out of the Filipinos?
RES;What awards were presented to the person who produced Paradise place?
RES;What is the location town of Seattle Great Wheel ?
RES;List all the line of Vadodara Junction railway station?
RES;Name the college of Jon Curran ?
RES;Which Tim Birton's movie has a screenplay by Daniel Waters ?
RES;Who produces the tv series which made Scott Haran famous?
RES;What is the place of birth of the jockey who breeded De La Rose ?
RES;Name the Artist of Madagascar: Operation Penguin ?
RES;What are some devices made by Taiwanese companies?
RES;Harry Huston and Dick Spalding played their first match for which team?
RES;What is the layout of Subaru Legacy (second generation) ?
NUM;How many other wine region are there of the grapes whose one of the wine region is Michigan ?
RES;Name the office holder whose constituency are Duboce Triangle and Haight-Ashbury ?
NUM;Estimate the number of sports divisions at the universities under international association of universities.
RES;What is the leader of the government agency which is the military unit of Erich Kempka ?
RES;What is the alma mater of the senator who is the successor of Warren Magnuson ?
BOOL;Is Eddie Bravo the trainer of Shinya Aoki?
RES;List the battles in which alumni of US Army Command and General Staff College fought?
RES;Which writer of Alan Freeman Days is also the writer of Come On over ?
RES;Name the subsidary of Tandem Computers which was founded by Jim Harris ?
NUM;Count all the books written by an author buried in the Convent of Barefoot Trinitarians?
RES;Name the city with leader as Esther Alder and neighboring municipality as Pregny-Chambsy?
BOOL;Was Blade Runner cinematographed by JordanCronenweth?
RES;Panthera leo fossils and Liger belong to which species?
RES;Name the street address of Rhodes-Haverty Building ?
RES;Who were the commanders during the events which took place in Sandusky County, Ohio?
RES;Who founded the city where Pat Vincent die?
RES;Name the kingdom with currency Solidus (coin) and administrative headquarters in Nicomedia?
RES;Which company has a product named Visual Studio and One Drive as service ?
RES;Name the river whose mouth place is Old Lyme, Connecticut?
RES;Which division of the Runewaker Entertainment is also the  destinations of the Airtours International Airways?
RES;Which show's network is Prime time Entertainment and has Douglas Netter as executive producer ?
RES;Who was the president under which a tennis player held office before John W. Weeks?
RES;What are the things whose leader was a monarch of Willem-Alexander of the Netherlands?
RES;acer nigrum is used in making what?
RES;Name the prospect team of Mikhail Pashnin ?
RES;What is the predecessor of BMW M40 ?
RES;Which cities are located around the sea into which the ionian flows?
BOOL;Did Joe Namath did his highschool in Beaver Falls High School?
RES;Where do the railroads owned by the Chicago and Northwestern Transportation company begin?
NUM;Give me a count of mammals which have their order as Primate?
RES;What television show are distributed by Broadcast syndication?
RES;Who was the president under which people won the United States House of Representatives elections in 1790 ?
RES;Which TV show's producer is Stephen E. Ambrose and company is DreamWorks Television?
RES;Which river originate from limerick?
RES;Who is the opponent of United States House of Representatives elections in Ohio, 2010 ?
RES;Laozi authored which book?
RES;What are some other children of the father of Marvin Bush?
RES;Rivers from which countries flow into the Caspian?
RES;Which is the nearest city to Elliott Bay ?
RES;In which sects were the aristocrats included, who were buried in Westminister abbey?
RES;Name the saint whose major shrine is in Canada and was canonized by Pope Benedict XVI?
RES;who was the australian flagbearer of 2008 Summer Olympics?
RES;Which vice president of Warren G. Harsing is also the president of Evans Hughes ?
RES;Who is the manager of the club whose homeground is the riverside stadium?
BOOL;Does the Utah State Route 162 end at Colorado?
RES;Which recognized title of Frank Thorne is also the product of Playboy Enterprise ?
RES;Whose constituency is Duboce Triangle ?
RES;What is the name of Mary's divine child?
RES;Joe Hahn is the member of what band?
RES;Which team did wolfred McDonald is also the prospect team of Milkhail Pashnin ?
RES;Which companies have launched from the Vandenberg Air Force Air base?
NUM;How many home stadiums are there of the seasons whose chairman in Merritt Paulson?
RES;What are some primates?
RES;What is the rank of Julius C. Burrows politically?
RES;Name a few whose live in a place where Indian English is an official language
NUM;Count the number of first drivers in all the GPs where Mika Hakkinen was a first driver?
RES;What sports are played at Vishwajyot High School?
RES;BBC Two is the sister channel of networks having which shows?
RES;Who owns a bridge in Boston?
RES;In which fields are both Paul Demiville and Sylvain levi experts?
NUM;How many tenats have been there, of the constructions of PCL constructures?
RES;Which non fiction of the Thud is also the field of the Jon Speelman ?
RES;Who was the prime minister of Victor Hope, 2nd Marquess of Linlithgow and also the editor of British Gazette ?
RES;Name the hockey team whose head coach is Alain Vigneault?
RES;What is the municipality of Patterson Houses ?
NUM;Give me a count of everything under the archipelago, where Papeete is the biggest town.
RES;Where does the rivers ending in lake washington begin?
RES;Who all have developed a cross platform software?
RES;where did soccer bowl take place in 76?
RES;What political ideology of the Palang Dharma Party is relegion of Inthakin?
RES;List the cities which share the same water body as that of Florida ?
RES;What is common between genre of battle chess and purpose of New Zealand Chess ?
BOOL;Is GIMP written in C?
RES;Who is relative of the people died in Bergen-Belsen concentration camp ?
RES;In which state can I find Burr Truss styled bridges?
RES;Which info. appliance is manufactured by Asus and is the predecessor of PS 2?
RES;Which cover artist of the The Adventures of Tom Sawyer also the source of inspiration of The Appple Tree ?
RES;Which university of Alexandre Tichonov is the place of death of Valentin Muratov /
RES;What kind of music is produced at the record label founded by Andre Bourgeois?
RES;What is the place of death of the lieutenant of Frank Steunenberg?
NUM;How many titles have been won by the beauty queens which had brown hair?
RES;What are the border of High Desert (Oregon)?
RES;What is the location city of Burnside Distribution Corporation ?
RES;Which country's people work in the Birdman enterprises?
RES;Where is Oskar Blues located ?
NUM;Paul Leonard's work can be divided into how many series?
RES;Who  won the Lovelace Medal and the Norbert Wiener Award for Social and Professional Responsibility?
RES;List the sports associated with Mariveles, Bataan?
RES;Which holy places did consider Pope Gregory I as a saint?
RES;Which incumbent of Al Gore presidential campaign wass also the president of Mike McCurry ?
RES;What software is developed by GNOWSYS and is licensed by Frontaccounting?
RES;Which admin center of pulau Ujong is also the largest city of Pulau Ubin ?
RES;What is the parent company of PrivateCore?
RES;Name the scientist whose supervisor was John Robert Woodyard and has won Norbert Wiener Award for Social and Professional Responsibility?
RES;Name the river with mouth palce Essex and source place as Gloucestershire ?
RES;In which province was Dick Redding born?
RES;What awards have been awarded both to Ingmar bergman and James O'Brien?
NUM;Count the number of characters of the play whose one of the character is Catwoman ?
RES;Where else did the graduates of the university of west indies study?
BOOL;Does NOAAS Davidson (S 331) have a homeport in Seattle?
RES;List down the schools whose mascot is an animal from the order of Even toed Ungulates?
NUM;Count the number of cities on the Mediterranean Sea?
RES;What non fiction subjects are covered in books by Doubleday publishers?
RES;Name the death location of Judson Huss ?
RES;What are the movies whose musicians's home town is Volos?
RES;What is the affiliation of tani University ?
RES;What is the base currency of Benelux ?
RES;What foundation palce of Temenos Group is the death palce of jerzy Jzef Poocki ?
NUM;Give me a count of the services by the company which provides Data center as the services ?
RES;Who discovered Europa and Callisto?
RES;Which company offer service of Outlook.com and OneDrive?
RES;Scientists at the University of Queensland have won which awards?
RES;Which body governs over the place made by the chumash people?
RES;What is the religion of the ethnic group to which the relatives of Waxiang people belong?
BOOL;Did Alexander Magleby study at the Dartmouth College?
RES;Name the office holder whose constituency is Noe Valley, San Francisco and belongs to military unit USS Kittiwake (ASR-13)?
RES;Where is the south shore plaza located?
RES;What are the resting places of the associates of John Betts a, Connecticut politician?
RES;Waddy wachtel did the music for what movies?
BOOL;Was the  2d Command and Control Squadron barracked in Colorado?
RES;Whose military unit is 39th infantry regiment in 1812?
RES;Which boarder country of Korean Peninsula was the state of Sodagreen ?
RES;Spanish harlem incident was composed by whom ?
RES;What sports are played at universities affiliated by States Colleges and Universities athletic association?
RES;EU Broadcasting Union is the owner of the distributor of what?
NUM;How many people were drafted in the LA Clippers?
RES;Who is the musical artist worked for labels Celluloid Records and Victor Entertainment?
RES;Which founding cities of Young Americans Bank is also the location of Denver Broncos ?
RES;Which famous physicist was academically advised by Benjamin Pulleyn?
RES;Which prospect team of Robin Kovacs is the draft team of Bob MacMillan ?
NUM;Terry Pratchett has written about how many topics?
RES;Which shows theme music is composed by a band which has Larry Lalonde in it?
RES;Which indian party has won the arunachal pradesh elections of 2014, and has been in the 4th legislative assembly?
RES;Who are the former partners of the figure skaters whose performance have been choreographed by Catarina Lindgren in the past?
NUM;In how many regions is English American spoken?
RES;Which baseball team is owned by Robert Nutting?
RES;What religion did Gamini Seneviratne follow?
RES;Which fictional character is portrayed by Roger Barton (film editor)?
RES;who are all the people who have managed the England's under 20 soccer team?
RES;Give the name of the river with source place as Australian Alps and has mouth place as Goolwa , a place in Siyuth Australia ?
RES;Where were the doctoral students of James Langer born?
RES;Who has military branches are Colonial troops and Continental Army?
RES;Whose shrine is in aachen cathedral?
RES;What religions do politicians in the Korean Minjoo Party follow?
RES;What are the other band members of the band one of whose current member is Robert De Niro?
RES;Which peak was first scaled by Krzysztof Wielicki?
NUM;Give me the total number of Guests of the television episodes whose one of the  Guests is Michael Cristofer?
NUM;How many factions were fighting in the wars where Blue Jacket was a commander?
RES;who was the president under which Joe Purcell is a lieutenant?
RES;Which headcoach of Marquette Golden Eagles men's basketball team, 2008-09 was also the coach of Marquette Golden Eagles team ?
RES;List the state of the universities whose nation is United States ?
RES;What city is the place of birth of Alexander Morozevich which is also the official residence of Dmitri Nossov ?
RES;What is the television show whose executive producer is Steven Peterman?
RES;Which military battles are associated with Israel?
RES;What are some magazines whose publishers are themselves Rock and Roll Hall of Fame members?
RES;What are the veneration of the one for which there's a major shrine in Hebron?
RES;What is the home town of the band which is the artist of Your Ice Cream's Dirty ?
RES;Who is the chancellor of the university which affiliates the Dartington College of Arts?
RES;What is the nationality of Sune Agerschou ?
RES;What is the PLACE OF DEATH of Charles Gordon (artist) ?
RES;Namt the fields of Paul Demiville ?
RES;Which battle is Jim Jones associated with to which Allen Boyd is also associated ?
RES;Who all have been canonized by Pope Paul VI
RES;Where is the tombstone of the congressman who died in the McLean hospital?
RES;What is written in a programming language developed by GNOME Project?
RES;Which race is the  Best Mate is also the race of the Martin Molony?
RES;Where is the building located whose architect was Francis Palmer Smith?
RES;Who operates the bridges designed by Malaysian PWD?
RES;Where was the person born whose successor was Le Hong Phong?
RES;In which race did Coneygree the racehorse and Fergie Sutherland the horse trainer participate?
RES;List all important people of the non profit organization which has Hilary Clinton as a key person ?
RES;List the school of Bobby Skinstad?
BOOL;Was Lionel Messi a member  of the 2009 FIFA World Cup squads?
BOOL;Was Writings and Drawings illustrated by Bob Dylan?
NUM;Count all the universities who participated in the tournament won by Alabama Crimson Tides in 2015 ?
BOOL;Was the Lotuspool Records distributed by Napster?
RES;List the base currency of the country whose anthem is Oj, svijetla majska zoro.
RES;What magazine is Marritt Cabal known for which has Lucifer Hammer as publisher ?
RES;Name the parent company of Ford Falcon Cobra ?
NUM;How many players are in the San Francisco Giants?
RES;Which place of Geography Club is the location of Seattle Great Wheel ?
NUM;How many races has Best Mate won?
RES;Which governor of Charles Willing had a child named John Scott ?
RES;List the relatives of Lyubov Dostoyevskaya ?
RES;What is the military rank of the important commander of Peruvian Army?
BOOL;Do the west coast airlines fly to seattle?
RES;Which units are garrisoned at Arlington County, Virginia?
NUM;In how many different places have ehtics philosophers died?
RES;Who is the fictional character who starred in The Dognapper?
RES;Who is the developer of Dart (programming language) ?
RES;Which house has published books about Jazz?
RES;Which person naratted The Incredible Hulk and also the writer of Tales of Suspense ?
RES;Who are the parents of writers born and bred in Buckinghamshire?
RES;List down the common sports played by PATTS College of Aeronautics and lytechnic University of the Philippines Taguig ?
NUM;How many companies have built concrete bridges?
NUM;How many movies have been directed by almunies of Parsons School of Design?
NUM;Count the number of  sport played by the school which also plays Association football ?
RES;Which countries militaries fought the SFOR battle?
RES;List the people died in Hyderabad and are a member of political party ?
RES;What is the american football league whose champion is from Kansas City, Missouri?
NUM;How many thesis were supervised by Ernest Rutherford?
RES;Who is the publisher of the comic, one of whose authors is Kentaro Takekuma ?
RES;List the scientists whose doctoral advisor is Ernest Rutherford and are known for Manhattan Project?
RES;Where is the garrison of Western Naval Command ?
RES;What is the political party of the of Bengalis ?
BOOL;Was John of Damascus canonized by Anglican Communion?
RES;Which city's mayor is married to Jean Marc Germain?
RES;Which person's successor is Samsu-iluna?
RES;Where do the sister stations of Al Khaleejiya 100.9 play?
RES;Name the sports played by Jamiatu Muslim Mindanao?
BOOL;Was X the Unknown edited by James needs?
RES;List the party of the office holder which also has the affiliation with Congress Socialist party ?
RES;What is the nickname of the city where Tuba Dei lives?
NUM;From how many different places did the weapons used in the American Indian wars originate?
RES;Name the office holder whose alma mater is Harvard-Westlake School and resting place is Alta Mesa Memorial Park?
RES;Which company developed Google Web Toolkit and Google custom search?
RES;Name the rive whose mouth is located in Limerick and location is Dowra?
NUM;How many sports are played in maharashtran schools?
RES;What is the citizenship of Ren Romano ?
RES;Which magazine's publisher is Jann Wenner and founded by Ralph J. Gleason?
RES;Where did chancellor served by Rudolf Kirchschlger die?
NUM;How many owners owned the clubs participating in the Premier leagues of '14?
NUM;How many people live in the Beverly Hills, California?
RES;Name some islands in a pacific archipelago?
NUM;For how many movies have the music composer composed music, who have collaborated with Yes ?
RES;Name the driver who had a pole finish in 1989 Portuguese Grand Prix ?
RES;Jeff Munn is the president of which basketball team ?
NUM;In how many areas do the networks broadcast, which also broadcasts in North Carolina?
RES;Name the sovereign state of Wallington railway station ?
RES;Which terrotory of Tonkin campaign also the death bed of Thophane Vnard ?
RES;Where does the Giannis Alafouzos originate?
RES;What is the death place of the Elbieta Czartoryska which is also place of birth of the Charles Journet
RES;What mammals fall into the biological family Canidae?
RES;what region is governed by Mario Olivero?
RES;Whihc party of the Mizoram Legislative Assembly is the government type of kumta ?
RES;What sports can be played in institutions in Bataan?
NUM;What is the total number of regions served by the companies which also serves Australia?
RES;What tv series can be said to be related to the sarah jane adventure and dr who confidential?
RES;Which route junction of the Rhode Island Route 15 is the place of birth of the Michael Poulin?
RES;What is the birth city of the Salford City F.C players ?
RES;What is the birthplace of Liudmila Privivkova and Qadir Huseynov ?
RES;Who are the maintainers of the bridges which cross the pandaruan river?
RES;Who has official residences at Colts Neck Township and Beverly Hills?
RES;List the area of radio stations whose sister station is WBCQ-FM?
RES;Which school did Robbie Diack attend?
RES;List the alma mater of the congressmen who attended Nashville, Tennessee ?
RES;What is the broadcast area of CFRX ?
RES;Who developed games based on the Cars series?
RES;What are the american football players whose former team's coach is Jason Maas?
RES;Which hub of Cascade Airways is also the resting place of Brandon Lee ?
NUM;How many companies have manufactured the rockets launched from the Cape Canaveral Air Force Station?
RES;What is the sea connected to Kaliningrad and Gdask?
RES;Name the agency of Election Commission of Thailand ?
RES;In which country did the planes designed by Ursula Hanle originate?
RES;what are some units udner the US department of navy?
RES;Which destination of the Novair International Airways is also the  predecessor of the Chevrolet Caprice?
RES;What did other artists associated with the Shirelles make?
RES;Which sitcoms are made by a company headquartered in NYC?
RES;Name the city of Duwamish River ?
RES;List the children of the parent of Marvin Bush.
RES;List the awards received of the person whose child is Daine Disney Miller?
RES;In which country is the Baku puppet Theater located which is also the birth palce of Anar Salmanov ?
RES;List down all the cast members of Tony n' Tina's Wedding ?
RES;What is the airline company has its headquarters in Dublin Airport?
RES;What was the result of Operation Autumn Clouds ?
RES;Where was the Temptation Waits recorded?
RES;Some movies whose screenplay is done by american born people?
RES;List the relatives of clay Aiken ?
RES;List the relatives of the children of Jon Voight ?
RES;What is the resting place of the children of Bruce Lee ?
RES;List the colonel with branch as Militia ?
RES;List all areas served by the radio station serving South carolina ?
RES;Which TV show's theme was composed by a band in which Todd Huth used to perform?
RES;Which work is both Neil Cross and Lars Pearson both known for ?
RES;What is the state of origin of Abbas Jafri ?
RES;which award has been won by Claudia Moro?
RES;What religion did the spouse of Richie Aprile follow?
RES;Which river has its roots in Baikal Mountains?
RES;What is the country whose leader was once Valentina Matviyenko?
BOOL;Is Ingo Steuer the formercoach of Stanislav Morozov?
RES;Whose units are responsible for close air support?
RES;Which university has chancellor as Nicholas S. Zeppos?
BOOL;Is Liang Chow the headcoach of Shawn Johnson?
RES;Name the key people of the non-profit organisations whose one of the key person is Lesley-Anne knight ?
RES;What is the address of Federal Reserve Bank Building?
RES;What are the kind of games one can play on windows?
RES;What is the location country of the bank whose successor is Mauritius Bank ?
RES;Which artists have co-starred with Kris Kristofferson?
RES;List the software using C++ as programming language and licence is Software as a service?
RES;Which are the major hubs of airline which operates the Menora Tunnel?
RES;List the countries through which European rout E39 and E8 passes ?
RES;Who are the writer of the singles whose music genre is Rhythm and blues ?
RES;Which country does the current team of Darren McNamara belong to?
RES;Name the mountain which belongs to Sierra Nevada range and is located in Inyo National Forest?
RES;What are the awards won by the film editor of The Search?
RES;Which serving railway line of the Rostov-Glavny is also the  place of birth of  Nina Vislova?
RES;Who coached the Marquette golden eagles men team in 09 to 10 and then again in 13 to 14 ?
RES;Give me some series related to the one which had Yasmin Paige in them.
BOOL;Is James Wong Howe the cinematographer of Behave Yourself?
BOOL;Does Heydar mean the same as a lion?
RES;Which associate musical artist of Carolyn Dennis is also the composer of Motorpsycho Nitemare ?
NUM;Count the number of shows whose creators are Jerry Seinfeld and Larry David?
RES;What is the state of the settlement, which is the sub assembly of Mohamedia, Tunisia ?
RES;Name the rivers in the hudson highlands state parts?
NUM;How many TV shows have executive producer as Steven Moffat ?
RES;Which office holder's military unit is USS Kittiwake  and constituency is Castro District, San Francisco ?
RES;Which writer of the Snaman is also the writer of Neverwher ?
NUM;How many relatives are there of veterans of operation Barbarossa?
RES;Which famous political figures are relatives to George Madison?
RES;Which organisation has superintendent as Lieutenant general (United States)?
RES;Who all have been in bands which have recorded their work in the Electric Lady Studios?
RES;What religion is practiced by Hirunika Premachandra, and many others south asians in Hong Kong?
BOOL;Was Kevin Jonas a part of Jonas brothers?
RES;Who did the associated act which is a Peter Frampton production ?
RES;List the shows whose company's successor is Amblin Television.
NUM;How many shows are made by the channel whose predecessor was the Comedy Channel?
RES;List of people who were the first one to ascend a mountain in the Cathedral range?
RES;Give me the mascot of the military unit in which Stewart Bovell served?
RES;Which company owns GetTV and Hypnotize minds ?
RES;In which wars did commanders born in Indochina fight?
RES;Who has written the mary poppins musical?
RES;Which newspaper is owned by people living in Oslo?
RES;Who made the engine whose predecessor is the SHO V6?
NUM;For how many different teams have Ontarians been drafted ?
RES;Name the university of Alexandre Tichonov ?
RES;In which countries can i find broadcasted TV in southeast asia?
NUM;Over how many cities did the Bellaton MMA, Season 11 take place?
RES;Whose academic advisor works at the St George's Hospital?
NUM;Count the number of people who graduated from universities affiliated with the NCAA.
RES;Which governor of Charles Willing byrd fought the battle of Siege of Fort Recovery ?
NUM;How many characters were made by Paul Dini?
RES;What are the name of the casualties affected by shooting rampage of Eric Harris and Dylan Klebold?
NUM;How many molluscas are there whose families are Buccinidae and Buccinoidea?
RES;List the newspapers which has headquarters in Stockholm?
RES;List the relegion of tani University which is also the life stance of udit Raj ?
BOOL;Was David Gilmour a former member of Pink Floyd?
RES;what are some players of England national football team?
RES;Which genre of books does the writer of The Many Hands write?
RES;Where did Aghasalim Childagh die?
NUM;Give me a count of airlines whose hub airport is Los Angeles International Airport?
RES;Where is the football team located in which Josh Bell did his debut?
RES;Where is the successor of john waldo from?
NUM;How many awards have screenwriters won?
RES;What are the houses of the Parliament Security Services and Parliament of India ?
NUM;How many owners are there of things located in Alabama?
RES;Which writer of A literary Nightmare also extended the work of The Apple tree ?
RES;Who collaborated with Johnny Cash and Kris Kristofferson ?
RES;What is the television show whose opening theme is Where Everybody Knows Your Name?
NUM;How many companies were founded in Denton, texas?
RES;Of which countries  does Viveka Babajee have citizenship?
RES;Which club of perianne Lones is also the home town of the Kady O'Malley ?
RES;Where are the shrines of the saints who were beatified by Pope Pius XI?
RES;What is the ethicity of Ted Falon?
RES;By what person of which political party is Balangir district led?
RES;Who is the political figure whose military branch is Colonial troops?
RES;Foxy Brown was associated with which band?
RES;Which creation of Josh Friedman was portrayed in Terminator 2 ?
RES;What are some common games played in PATTS college of aeronautics and Jamiatu muslim mindanao?
RES;Of how many battles is Chickasaw Campaign of 1736 consisted?
RES;In which country is there a political party whose leader is Jose Cha Cha Jimenez?
RES;Which movies' composers have won a BAFTA for film music?
RES;What kind of things are on the radio stations affiliated with the Baltimore Ravens?
RES;Which work institue of andrew Schally belongs to WTUL ?
